model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.8541123930033495,1.0,0.02488412061127822,0.7810011164867882
ZScoreBaseline,0.8719761816151842,1.0,0.023178787093532025,0.7810011164867882
ZScoreBaseline,0.8727205061406773,1.0,0.02317257412089672,0.7810011164867882
ZScoreBaseline,0.8745813174544101,1.0,0.023048973326369116,0.7810011164867882
ZScoreBaseline,0.8753256419799033,1.0,0.023042709502234797,0.7810011164867882
ZScoreBaseline,0.8812802381838482,1.0,0.022358756500556416,0.7810011164867882
ZScoreBaseline,0.8823967249720879,1.0,0.02220850101607447,0.7810011164867882
ZScoreBaseline,0.8846296985485672,1.0,0.02193528943244462,0.7810011164867882
ZScoreBaseline,0.8853740230740603,1.0,0.021923993347930413,0.7810011164867882
ZScoreBaseline,0.887234834387793,1.0,0.021666511294120328,0.7810011164867882
ZScoreBaseline,0.8879791589132862,1.0,0.021561782418850674,0.7810011164867882
ZScoreBaseline,0.8928172683289914,1.0,0.02095700743595042,0.7810011164867882
ZScoreBaseline,0.8935615928544846,1.0,0.020924212822263456,0.7810011164867882
ZScoreBaseline,0.9054707852623743,1.0,0.01950626937402024,0.7810011164867882
ZScoreBaseline,0.9069594343133607,1.0,0.01932701800535319,0.7810011164867882
ZScoreBaseline,0.9285448455526609,1.0,0.016550673697303925,0.7810011164867882
ZScoreBaseline,0.929289170078154,1.0,0.016441856662021147,0.7810011164867882
ZScoreBaseline,0.9460364719017491,1.0,0.014057703388860024,0.7810011164867882
ZScoreBaseline,0.9467807964272423,1.0,0.014044326172195372,0.7810011164867882
ZScoreBaseline,0.9586899888351321,1.0,0.01260283790214446,0.7810011164867882
ZScoreBaseline,0.9679940454037961,1.0,0.012550549946665759,0.7810011164867882
ZScoreBaseline,0.9705991812430219,1.0,0.012187978665171895,0.7810011164867882
ZScoreBaseline,0.9720878302940081,1.0,0.012035785252352455,0.7810011164867882
ZScoreBaseline,0.9780424264979531,1.0,0.010531532693523254,0.7810011164867882
ZScoreBaseline,0.9799032378116859,1.0,0.010212093244865604,0.7810011164867882
ZScoreBaseline,0.983997022701898,1.0,0.009527192973490375,0.7810011164867882
ZScoreBaseline,0.9847413472273912,1.0,0.009432027138782915,0.7810011164867882
ZScoreBaseline,0.9955340528470413,1.0,0.005773149608463657,0.7810011164867882
ZScoreBaseline,0.9970227018980276,1.0,0.0056353799212601205,0.7810011164867882
ZScoreBaseline,1.0,1.0,0.0,0.7810011164867882
LOF,0.0,0.0,inf,0.9727353926311872
LOF,0.0,0.02,0.9999999993834455,0.9727353926311872
LOF,0.0,0.22,0.5245710748357671,0.9727353926311872
LOF,0.0003721622627465575,0.22,0.5188596277595257,0.9727353926311872
LOF,0.0003721622627465575,0.38,0.47083295534513064,0.9727353926311872
LOF,0.00148864905098623,0.38,0.4516721808010782,0.9727353926311872
LOF,0.00148864905098623,0.4,0.45082145747589286,0.9727353926311872
LOF,0.002232973576479345,0.4,0.4415730843732719,0.9727353926311872
LOF,0.002232973576479345,0.42,0.437442631715668,0.9727353926311872
LOF,0.00297729810197246,0.42,0.4273052440568702,0.9727353926311872
LOF,0.00297729810197246,0.44,0.42589024134236386,0.9727353926311872
LOF,0.0033494603647190174,0.44,0.42561089354788195,0.9727353926311872
LOF,0.0033494603647190174,0.46,0.42438365382037013,0.9727353926311872
LOF,0.00595459620394492,0.46,0.39973870937948364,0.9727353926311872
LOF,0.00595459620394492,0.5,0.39576966265747454,0.9727353926311872
LOF,0.00744324525493115,0.5,0.3827429899913453,0.9727353926311872
LOF,0.00744324525493115,0.52,0.38130975510940973,0.9727353926311872
LOF,0.008559732043170823,0.52,0.37215989221184864,0.9727353926311872
LOF,0.008559732043170823,0.54,0.36871447841847405,0.9727353926311872
LOF,0.010048381094157052,0.54,0.35844798837931346,0.9727353926311872
