player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
miguelxyz19,2022.0492957746478,2000-2200,142,1.9814035636441891,1,-0.24777307948874316,1,-0.1352015459876409,1,-5.166581775234351,1,0.45126677,1,1.0,1,0.13332552,1,0,False,False
vbq,1742.2142857142858,1600-1800,14,2.468712434053034,1,-0.289558606816423,1,-0.11900341000231418,1,-3.5486081169592074,1,0.7147529,1,1.0,1,0.012706606,1,0,False,False
omermak,1547.3333333333333,1400-1600,12,2.9409956899913157,1,0.07618346972981715,-1,-0.10180870445984835,1,-1.0797639999162083,1,0.57209235,1,1.0,1,0.30310482,1,1,False,False
Mike-France-30,1196.0,1000-1200,19,2.0292742608807246,1,-0.05276786013695811,1,-0.121661016010014,1,-3.306515649164637,1,0.2615938,1,1.0,1,0.14088632,1,0,False,False
nikhilxyz,2136.2,2000-2200,5,3.2888364972977087,1,-0.15351364192637207,1,-0.06606392831549868,1,-2.0286201369265138,1,0.29721507,1,1.0,1,0.17297965,1,0,False,False
Alojz,2085.855072463768,2000-2200,69,1.4551967102415932,1,-0.27607914366170316,1,-0.17587935661620024,1,-4.463534130241103,1,0.48255274,1,0.49694570097587265,1,0.08536801,1,0,False,False
B25270,1715.0363636363636,1600-1800,110,0.8771907486911775,1,-0.2804923061274911,1,-0.16073809224138047,1,-9.177004873980735,1,0.15876363,1,1.0,1,0.03082648,1,0,False,False
MrSimh,1460.0,1400-1600,7,2.230812332067719,1,-0.08572828604031657,1,-0.12145341819156313,1,-4.905639800211094,1,0.40454665,1,1.0,1,0.1589211,1,0,False,False
Belthram,1263.5,1200-1400,6,2.897769897899395,1,0.14758012285315103,-1,-0.07540937353210625,1,-2.113017620666917,1,4.3668246,-1,1.0,1,0.6534819,-1,2,False,False
Vovj1952,1875.076923076923,1800-2000,13,2.468712434053034,1,-0.21516612492436016,1,-0.11194815896288729,1,-4.7520235883770665,1,0.4430736,1,1.0,1,0.03553144,1,0,False,False
zoranflpvc,1798.7083333333333,1600-1800,24,2.576972660385906,1,-0.3094094789390128,1,-0.12203260280651368,1,-4.1741811720673825,1,0.13237329,1,1.0,1,0.013615723,1,0,False,False
charlyEPS,2157.2,2000-2200,5,1.7211074298022502,1,-0.08204798968318183,1,-0.123511557594575,1,-2.0522071321212376,1,1.3642378,1,1.0,1,0.326295,1,0,False,False
daltrey77,1715.1153846153845,1600-1800,52,2.695922553786787,1,-0.11260718581929119,1,-0.10727364020819696,1,-4.359450833302637,1,2.0676332,-1,1.0,1,0.11905429,1,1,False,False
Diemaehne,1612.4,1600-1800,20,2.3729407749042206,1,-0.04633375530824124,1,-0.07835131414162372,1,-3.316448413862907,1,1.0783917,1,1.0,1,0.030134397,1,0,False,False
valjordano,1943.9,1800-2000,30,2.468712434053034,1,-0.21913460026061493,1,-0.11431095407992042,1,-0.8888119711732543,1,0.34679297,1,1.0,1,0.30128288,1,0,False,False
nikosIoannidis,1248.939393939394,1200-1400,33,1.658135617786232,1,-0.275764242507496,1,-0.17787849948481804,1,-5.671134979717956,1,0.516691,1,1.0,1,0.19374365,1,0,False,False
Francisco984,1944.6666666666667,1800-2000,42,1.1419214461142733,1,-0.19586228803419803,1,-0.16150650149177886,1,-4.934074874266302,1,0.2398147,1,0.9184591290328025,1,0.10830411,1,0,False,False
