player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident,likely_explanation
Isoorn,1672.1463414634147,1600-1800,41,2.5955940067814898,1,0.0670462946105117,-1,-0.13793194917427443,1,-4.66636778961029,1,2.3337815,-1,0.9121285800457453,1,0.041298725,1,2,True,False,unexplained_deviation
kike38ve,1496.8666666666666,1400-1600,15,4.1799396164938365,1,0.025537321648990474,-1,-0.010483701748767227,1,-0.7384026439198479,1,2.526987,-1,1.0,1,0.7138929,-1,2,True,False,unexplained_deviation
nico93,1904.9607843137255,1800-2000,51,2.695922553786787,1,0.13664722239715754,-1,-0.06051229769068028,1,-0.9856140430825224,1,4.2536817,-1,1.0,1,0.2276471,1,2,True,False,unexplained_deviation
Annbuut,1841.7586206896551,1800-2000,29,3.9394529136612726,1,0.16258644030782454,-1,-0.06837212341003385,1,0.010221576811413335,-1,3.0636368,-1,1.0,1,0.14413114,1,3,True,True,unexplained_deviation
Cerchietto,1827.304347826087,1800-2000,23,4.689881126207176,-1,0.04453649030302542,-1,-0.08227200388647654,1,-1.1080606621441742,1,2.3202858,-1,1.0,1,0.7047363,-1,2,True,False,unexplained_deviation
rohanms,1427.8181818181818,1400-1600,22,2.898456366804136,1,0.02082891653730745,-1,-0.06891235319627598,1,-1.5577251514077908,1,2.3040478,-1,1.0,1,0.044896416,1,2,True,False,unexplained_deviation
Diehardtourneyplayer,2172.4545454545455,2000-2200,22,2.695922553786787,1,0.028558675297954972,-1,-0.06609363873707291,1,-0.8263025839417466,1,1.988256,-1,1.0,1,0.3063426,1,2,True,False,pool_mismatch
KoniVvs,2219.885714285714,2200+,35,3.32361100859226,1,0.1684589064242723,-1,-0.05616513331827189,1,-0.3192476460605045,1,4.671187,-1,1.0,1,0.25035718,1,2,True,False,pool_mismatch
ArthurKnight,1886.031746031746,1800-2000,63,3.7252035955125624,1,0.00924271202801763,-1,-0.09309703139735365,1,-1.8039010982495292,1,2.5510814,-1,1.0,1,0.9026019,-1,2,True,False,unexplained_deviation
Lichess-network,1605.0,1600-1800,15,3.7011132044144968,1,0.2325320959782169,-1,-0.07172279119417452,1,-0.5486954114448572,1,1.725348,-1,1.0,1,0.74257827,-1,2,True,False,unexplained_deviation
AleksandarSrbija,1780.601851851852,1600-1800,108,2.429910806466902,1,0.04856612522062109,-1,-0.09504563398022653,1,-0.2987112622602899,1,1.6846839,-1,1.0,1,0.13575262,1,2,True,False,pool_mismatch
BogleUTM,2176.2258064516127,2000-2200,31,6.496553146584217,-1,-0.08824033090925232,1,-0.02022163753407369,1,0.9743627431579238,-1,1.8879765,-1,1.0,1,0.02316146,1,2,True,False,pool_mismatch
mahyar89mahan84,1115.975,1000-1200,40,2.695922553786787,1,0.187700770601962,-1,-0.10690175966799104,1,-1.3553699099595677,1,5.291188,-1,1.0,1,0.55857474,-1,2,True,False,unexplained_deviation
Alboio,1938.4285714285713,1800-2000,21,4.520278083117589,-1,0.30874830552192223,-1,0.009734600477291244,-1,1.5272929034109404,-1,2.7591276,-1,1.0,1,1.0045489,-1,3,True,True,pool_mismatch
cpd268,1776.7796610169491,1600-1800,59,2.224781652304284,1,0.11639211860236198,-1,-0.1161547051503215,1,-1.5082238723508121,1,2.3415434,-1,1.0,1,0.41714114,1,2,True,False,unexplained_deviation
smauf66,1803.090909090909,1800-2000,22,3.376790396453261,1,0.269013517658792,-1,-0.052560543618317135,1,0.37757292224113037,-1,0.43892452,1,1.0,1,0.04820703,1,2,True,False,unexplained_deviation
lakin,1618.65,1600-1800,20,2.3014902687556487,1,0.012219230053304164,-1,-0.09418063595758858,1,-2.6765756404936036,1,2.1867244,-1,1.0,1,0.46013123,1,2,True,False,unexplained_deviation
Asperhard,2028.6129032258063,2000-2200,62,6.909484661838914,-1,0.03656153820241448,-1,0.0032096294972645545,-1,1.3507371163459427,-1,5.6117935,-1,1.0,1,0.7204449,-1,3,True,True,unexplained_deviation
Leo71,1393.6470588235295,1200-1400,17,7.2316496287186665,-1,0.1723090484336438,-1,-0.04560502660178389,1,2.0180257400946022,-1,3.059557,-1,1.0,1,1.5575897,-1,3,True,True,unexplained_deviation
mik4708,2052.3333333333335,2000-2200,18,3.9054463639697583,1,0.024654141247468564,-1,-0.036590416580879914,1,-0.4297289619399898,1,2.6140597,-1,1.0,1,0.017941806,1,2,True,False,unexplained_deviation
frdzhdytz,2012.909090909091,2000-2200,22,1.5943028576927216,1,0.03555964569160408,-1,-0.1608904646110894,1,-5.456282451655388,1,1.6708531,-1,0.9196549241480317,1,0.3894109,1,2,True,False,unexplained_deviation
damian1997,1788.6727272727273,1600-1800,55,4.204120394829674,1,0.1752137481130649,-1,-0.055492695524796576,1,-0.00010896946004024244,1,2.238572,-1,1.0,1,1.9608468,-1,2,True,False,unexplained_deviation
wlad_90,1307.625,1200-1400,16,12.301278446373521,-1,0.12479184979163538,-1,0.025898202080173682,-1,3.368749572486553,-1,2.0725954,-1,1.0,1,2.6716723,-1,3,True,True,unexplained_deviation
AusiasMarch,1917.3125,1800-2000,16,8.069338789844041,-1,-0.127736096160028,1,-0.03372541556214759,1,0.5064115158496296,-1,4.493516,-1,1.0,1,0.7458582,-1,2,True,False,unexplained_deviation
ayham,1708.5584415584415,1600-1800,77,2.399903123553247,1,0.0004756176968032655,-1,-0.11000097462304825,1,-3.209045170423809,1,1.9702619,-1,1.0,1,0.8615948,-1,2,True,False,unexplained_deviation
CRUSSADE,2349.5348837209303,2200+,43,7.311122644112714,-1,-0.007717765040528013,1,-0.043465070524388416,1,0.9987921391082653,-1,2.9117339,-1,1.0,1,0.10218725,1,2,True,False,unexplained_deviation
mykahveli,1610.5,1600-1800,20,2.695922553786787,1,0.0032126774673459924,-1,-0.12734272241652472,1,-1.5588818724755935,1,1.9372648,-1,1.0,1,0.013944108,1,2,True,False,unexplained_deviation
I2000,1951.6727272727273,1800-2000,55,2.1639049537316253,1,2.682327115022254e-05,-1,-0.0850573175461557,1,-3.2091435827740282,1,4.0590925,-1,1.0,1,0.069200106,1,2,True,False,unexplained_deviation
mertalcikaya,1297.1363636363637,1200-1400,22,3.6734559594988947,1,0.11011437873892316,-1,-0.04847651822471993,1,-0.282871816014195,1,3.0722358,-1,1.0,1,1.2533078,-1,2,True,False,unexplained_deviation
HaavardStorm,1483.235294117647,1400-1600,17,3.140645539615066,1,0.022387673337147307,-1,-0.09871954800384597,1,-1.9796398247926357,1,2.2505,-1,1.0,1,0.22499673,1,2,True,False,unexplained_deviation
AcquavivAAA,1638.9411764705883,1600-1800,17,1.8379690293283706,1,0.025315034447207507,-1,-0.10144425898893505,1,-5.371723560734153,1,2.2859085,-1,1.0,1,0.08818487,1,2,True,False,unexplained_deviation
soorya_30,1620.5959595959596,1600-1800,99,5.070940215765001,-1,0.1001083703467871,-1,-0.006261056163078926,1,0.00020316721259927562,-1,4.615222,-1,1.0,1,1.6262593,-1,3,True,True,unexplained_deviation
OldLion34,2061.2380952380954,2000-2200,21,3.0349332943248144,1,0.047436832090765435,-1,-0.07969079936129092,1,-2.6760623515261743,1,2.1626039,-1,1.0,1,0.50339764,-1,2,True,False,unexplained_deviation
khosronikan,2001.44,2000-2200,25,8.706227062086526,-1,0.051060400570205555,-1,-0.08653574682212917,1,0.769378816491229,-1,1.8798615,-1,1.0,1,0.6002748,-1,3,True,True,unexplained_deviation
sergey--bosyakov,1845.9736842105262,1800-2000,38,2.695922553786787,1,0.0152360810921226,-1,-0.06627388196883621,1,-1.1512159026730409,1,2.7870567,-1,1.0,1,0.124346256,1,2,True,False,unexplained_deviation
