model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.4782285076293264,0.31,0.06360268649069387,0.4522925195385188
ZScoreBaseline,0.4797171566803126,0.31,0.06360057147997056,0.4522925195385188
ZScoreBaseline,0.4823222925195385,0.31,0.06339834939819171,0.4522925195385188
ZScoreBaseline,0.4823222925195385,0.32,0.06338039975011625,0.4522925195385188
ZScoreBaseline,0.4879047264607369,0.32,0.06244152759424734,0.4522925195385188
ZScoreBaseline,0.48902121324897657,0.32,0.06241077881023548,0.4522925195385188
ZScoreBaseline,0.4893933755117231,0.32,0.06240812043183359,0.4522925195385188
ZScoreBaseline,0.4893933755117231,0.33,0.06240117492705881,0.4522925195385188
ZScoreBaseline,0.4897655377744697,0.33,0.062356043775596164,0.4522925195385188
ZScoreBaseline,0.4912541868254559,0.33,0.06227290810843881,0.4522925195385188
ZScoreBaseline,0.498697432080387,0.33,0.06094701609756625,0.4522925195385188
ZScoreBaseline,0.498697432080387,0.34,0.060939943545920715,0.4522925195385188
ZScoreBaseline,0.5053963528098251,0.34,0.06023407431097323,0.4522925195385188
ZScoreBaseline,0.5061406773353182,0.34,0.060204894420365,0.4522925195385188
ZScoreBaseline,0.5072571641235579,0.34,0.06003857391441052,0.4522925195385188
ZScoreBaseline,0.508001488649051,0.34,0.060026272966286744,0.4522925195385188
ZScoreBaseline,0.5083736509117975,0.34,0.05998630829264854,0.4522925195385188
ZScoreBaseline,0.5083736509117975,0.35,0.059961460841926884,0.4522925195385188
ZScoreBaseline,0.5102344622255304,0.35,0.059727195779182674,0.4522925195385188
ZScoreBaseline,0.5109787867510235,0.35,0.05972218812087708,0.4522925195385188
ZScoreBaseline,0.514700409378489,0.35,0.059019314716236886,0.4522925195385188
ZScoreBaseline,0.5161890584294753,0.35,0.05894434081243939,0.4522925195385188
ZScoreBaseline,0.5202828433196874,0.35,0.05818874460342603,0.4522925195385188
ZScoreBaseline,0.5202828433196874,0.37,0.05810765724845143,0.4522925195385188
ZScoreBaseline,0.5210271678451805,0.37,0.05779528116828816,0.4522925195385188
ZScoreBaseline,0.5221436546334202,0.37,0.05774163289691944,0.4522925195385188
ZScoreBaseline,0.5236323036844064,0.37,0.0574223691262613,0.4522925195385188
ZScoreBaseline,0.5247487904726461,0.37,0.05740642240752688,0.4522925195385188
ZScoreBaseline,0.527353926311872,0.37,0.057156818069829016,0.4522925195385188
ZScoreBaseline,0.5280982508373651,0.37,0.05714112055602714,0.4522925195385188
ZScoreBaseline,0.5288425753628582,0.37,0.056987949125555194,0.4522925195385188
ZScoreBaseline,0.5288425753628582,0.38,0.056936885587634746,0.4522925195385188
ZScoreBaseline,0.5299590621510979,0.38,0.056898763271965115,0.4522925195385188
ZScoreBaseline,0.5314477112020841,0.38,0.05682977972055437,0.4522925195385188
ZScoreBaseline,0.5314477112020841,0.39,0.056822107351088454,0.4522925195385188
ZScoreBaseline,0.5340528470413101,0.39,0.05648875597828794,0.4522925195385188
ZScoreBaseline,0.5347971715668032,0.39,0.05647639165933504,0.4522925195385188
ZScoreBaseline,0.5370301451432825,0.39,0.05633895518690063,0.4522925195385188
ZScoreBaseline,0.5370301451432825,0.4,0.05626431217790239,0.4522925195385188
